action,id,external_id,source,name,city,city_cluster,lat,lon,district,district_before,district_how,sport_ids,amenity_kinds,has_declared_sport,in_footprint,full_address,street_number,street_name,tags
update,288739b5-7d6c-4b89-9886-b58d45a1a3dd,246519801,directory,Câu lạc bộ Văn hóa Thể thao Tanimex,hcm,1,10.808454,106.611485188884,hcm_taythanh,Quận Tân Phú,contains,4,pitch|sports_centre,True,True,"Câu lạc bộ Văn hóa Thể thao Tanimex, Đường CN13, Phường Sơn Kỳ, Quận Tân Phú, Thành phố Hồ Chí Minh, 71913, Việt Nam",,Đường CN13,"sport:[tennis] ;; barrier:[wall] ;; leisure:[sports_centre, pitch]"
update,ced8a8d2-68ee-4006-b462-ac547cd27587,401014203,directory,Sân cầu lông Tây Thạnh,hcm,1,10.8101289,106.626599098902,hcm_taythanh,Quận Tân Phú,contains,3,pitch,True,True,"Sân cầu lông Tây Thạnh, Hẻm 56 Nguyễn Hữu Tiến, Phường Tây Thạnh, Quận Tân Phú, Thành phố Hồ Chí Minh, 72011, Việt Nam",,Hẻm 56 Nguyễn Hữu Tiến,sport:[badminton] ;; leisure:[pitch]
update,df52ba6c-5cb7-4144-be55-a841bd09dcb2,401013904,directory,Trung tâm VH - TDTT Quận Tân Phú,hcm,1,10.8104797,106.626458883273,hcm_taythanh,Quận Tân Phú,contains,2|3|4,swimming_pool,True,True,"Trung tâm VH - TDTT Quận Tân Phú, 97, Đường Dương Đức Hiền, Phường Tây Thạnh, Quận Tân Phú, Thành phố Hồ Chí Minh, 70000, Việt Nam",97,Đường Dương Đức Hiền,"sport:[swimming, tennis, volleyball, gymnastics, badminton, basketball] ;; building:[yes] ;; opening_hours:[Mo-Su 07:00-22:00] ;; leisure:[swimming_pool]"
update,ed83de85-cf49-4411-b196-9b06624bdbdc,246598167,directory,Trường THCS Lê Lợi,hcm,1,10.81364425,106.621732694152,hcm_taythanh,Quận Tân Phú,contains,1,pitch,True,True,"Trường THCS Lê Lợi, 47, Đường S11, Phường Tây Thạnh, Quận Tân Phú, Thành phố Hồ Chí Minh, 71913, Việt Nam",47,Đường S11,leisure:[pitch] ;; sport:[soccer]
update,7ceb8ae9-c58e-463a-b1ce-100cb4f8ce41,246592244,directory,Trường THPT Tây Thạnh,hcm,1,10.81404385,106.622212142228,hcm_taythanh,Quận Tân Phú,contains,,swimming_pool,True,True,"Trường THPT Tây Thạnh, 27, Đường C2, Phường Tây Thạnh, Quận Tân Phú, Thành phố Hồ Chí Minh, 71913, Việt Nam",27,Đường C2,grades:[10-12] ;; website:[https://thpttaythanh.hcm.edu.vn/] ;; leisure:[swimming_pool] ;; sport:[swimming]
update,f4e239a2-ae3c-49d8-ac2c-e02820558638,246584793,directory,Trường Đại học Công Thương TP.HCM (cơ sở 3),hcm,1,10.8088989,106.629796419336,hcm_taythanh,Quận Tân Phú,contains,1,pitch,True,True,"Trường Đại học Công Thương TP.HCM (cơ sở 3), Đường Phạm Ngọc Thảo, Phường Tây Thạnh, Quận Tân Phú, Thành phố Hồ Chí Minh, 72011, Việt Nam",,Đường Phạm Ngọc Thảo,leisure:[pitch] ;; sport:[soccer]
update,dc8b5387-8e0d-4e32-aba6-2b1380791e0c,246224022,directory,Trường THPT Quang Trung,hcm,1,11.00273465,106.424945535451,hcm_thaimy,,contains,,pitch,True,True,"Trường THPT Quang Trung, Tỉnh lộ 7, Thành phố Hồ Chí Minh, Việt Nam",,Tỉnh lộ 7,grades:[10-12] ;; leisure:[pitch] ;; sport:[volleyball]
update,a2dfd202-b325-443e-8db9-62f72117ccef,246547613,directory,"Boulevard 2, City Garden",hcm,1,10.794093,106.711885838431,hcm_thanhmytay,Quận Bình Thạnh,contains,,swimming_pool,False,True,"Boulevard 2, City Garden, 59, Ngô Tất Tố, Phường 19, Quận Bình Thạnh, Thành phố Hồ Chí Minh, 72508, Việt Nam",59,Ngô Tất Tố,layer:[1] ;; building:levels:[27] ;; leisure:[swimming_pool]
update,ebc9c913-1161-438c-851a-7d699c4b2a85,246558857,directory,Central 2,hcm,1,10.79100225,106.721449704798,hcm_thanhmytay,Quận Bình Thạnh,contains,,swimming_pool,False,True,"Central 2, Hẻm 132 Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Thành phố Hồ Chí Minh, 71108, Việt Nam",,Hẻm 132 Nguyễn Hữu Cảnh,height:[180] ;; building:levels:[47] ;; building:levels:underground:[3] ;; leisure:[swimming_pool]
update,834ed8dc-aeba-40ce-bcb9-412342e6738e,246552898,directory,Central 3,hcm,1,10.79299475,106.720369624222,hcm_thanhmytay,Quận Bình Thạnh,contains,,swimming_pool,False,True,"Central 3, Đường Vạn Hoa 3, Quận Bình Thạnh, Thành phố Hồ Chí Minh, 71108, Việt Nam",,Đường Vạn Hoa 3,height:[175] ;; building:levels:[47] ;; leisure:[swimming_pool]
